FRN,Data Item,Description,Length in Octets,Formato confirmado
1,I048/010,Data Source Identifier,2,Fixed length
2,I048/140,Time-of-Day,3,Fixed length
3,I048/020,Target Report Descriptor,1+,Variable length
4,I048/040,Measured Position in Slant Polar Coordinates,4,Fixed length
5,I048/070,Mode-3/A Code in Octal Representation,2,Fixed length
6,I048/090,Flight Level in Binary Representation,2,Fixed length
7,I048/130,Radar Plot Characteristics,1+1+,Compound
FX,n.a.,Field Extension Indicator,n.a.,FX indicator / not a Data Item
8,I048/220,Aircraft Address,3,Fixed length
9,I048/240,Aircraft Identification,6,Fixed length
10,I048/250,Mode S MB Data,1+8*n,Repetitive
11,I048/161,Track Number,2,Fixed length
12,I048/042,Calculated Position in Cartesian Coordinates,4,Fixed length
13,I048/200,Calculated Track Velocity in Polar Representation,4,Fixed length
14,I048/170,Track Status,1+,Variable length
FX,n.a.,Field Extension Indicator,n.a.,FX indicator / not a Data Item
15,I048/210,Track Quality,4,Fixed length
16,I048/030,Warning/Error Conditions/Target Classification,1+,Variable length
17,I048/080,Mode-3/A Code Confidence Indicator,2,Fixed length
18,I048/100,Mode-C Code and Confidence Indicator,4,Fixed length
19,I048/110,Height Measured by 3D Radar,2,Fixed length
20,I048/120,Radial Doppler Speed,1+,Compound
21,I048/230,Communications / ACAS Capability and Flight Status,2,Fixed length
FX,n.a.,Field Extension Indicator,n.a.,FX indicator / not a Data Item
22,I048/260,ACAS Resolution Advisory Report,7,Fixed length
23,I048/055,Mode-1 Code in Octal Representation,1,Fixed length
24,I048/050,Mode-2 Code in Octal Representation,2,Fixed length
25,I048/065,Mode-1 Code Confidence Indicator,1,Fixed length
26,I048/060,Mode-2 Code Confidence Indicator,2,Fixed length
27,SP-Data Item,Special Purpose Field,1+1+,Special Purpose Field
28,RE-Data Item,Reserved Expansion Field,1+1+,Reserved Expansion Field
FX,n.a.,Field Extension Indicator,n.a.,FX indicator / not a Data Item
